conversation_num,speaker_id,message,timestamp
escalatory_conversation_1,speaker_1,You know what? I'm sick of you always taking credit for my ideas in our group project.,2024-06-20 20:01:08
escalatory_conversation_1,speaker_2,"Oh, please. Your ideas? You just provide some half-baked thoughts, and I wind up doing all the actual work.",2024-06-20 20:02:08
escalatory_conversation_1,speaker_1,"That's not true! I came up with the entire plan for our presentation, and you just repackaged it and acted like it was all you.",2024-06-20 20:03:08
escalatory_conversation_1,speaker_2,"If that's what you think, maybe you should step up your game. Your contribution so far has been minimal at best.",2024-06-20 20:10:08
escalatory_conversation_1,speaker_1,"Minimal? Maybe if you didn't shut down every suggestion I make, I could contribute more.",2024-06-20 20:17:08
escalatory_conversation_1,speaker_2,I only shut them down because they're not realistic or useful. You're always thinking too big without any follow-through.,2024-06-20 20:24:08
escalatory_conversation_1,speaker_3,Can you two stop bickering for a second? We're going to fail if we can't work together.,2024-06-20 20:34:08
escalatory_conversation_1,speaker_1,"I tried working with speaker_2, but they keep undermining me at every turn.",2024-06-20 20:36:08
escalatory_conversation_1,speaker_2,I'm not undermining you; I'm saving this project from your impractical ideas.,2024-06-20 20:42:08
escalatory_conversation_1,speaker_3,"Seriously, both of you need to stop this. We have a deadline, and arguing isn't getting us anywhere.",2024-06-20 20:48:08
escalatory_conversation_1,speaker_1,"Fine, but I'm not going to sit quietly while my efforts are ignored.",2024-06-20 20:51:08
escalatory_conversation_1,speaker_2,And I'm not going to let the project tank because of poorly thought-out contributions.,2024-06-20 21:00:08
escalatory_conversation_1,speaker_3,How about we divide the tasks more clearly so theres no overlap? Maybe that will stop you two from stepping on each others toes.,2024-06-20 21:10:08
escalatory_conversation_1,speaker_1,"That might work, as long as speaker_2 doesn't interfere with my part.",2024-06-20 21:18:08
escalatory_conversation_1,speaker_2,"Great, as long as your part doesn't screw up the whole project.",2024-06-20 21:28:08
escalatory_conversation_1,speaker_3,"Alright, let's outline our individual tasks and stick to them. We really don't have time for this infighting.",2024-06-20 21:29:08
escalatory_conversation_1,speaker_1,"Fine, but I want a clear responsibility and acknowledgment for my work.",2024-06-20 21:37:08
escalatory_conversation_1,speaker_2,Agreed. But lets also make sure were all doing our fair share.,2024-06-20 21:40:08
escalatory_conversation_1,speaker_3,"Finally, lets get back to work and focus on finishing this project. Enough of the drama.",2024-06-20 21:46:08
escalatory_conversation_1,speaker_1,Agreed. Let's get this done.,2024-06-20 21:51:08
escalatory_conversation_2,speaker_1,Why did you delete all the files from the shared project folder?,2024-06-20 19:55:16
escalatory_conversation_2,speaker_2,What are you talking about? I didn't delete anything!,2024-06-20 20:02:16
escalatory_conversation_2,speaker_1,Don't play dumb. I saw you last night working on the folder. Now everything's gone!,2024-06-20 20:04:16
escalatory_conversation_2,speaker_2,"I told you, I didn't delete anything. Maybe you just misplaced them.",2024-06-20 20:10:16
escalatory_conversation_2,speaker_1,Misplaced them? Are you serious? They're not hidden; they're completely gone!,2024-06-20 20:20:16
escalatory_conversation_2,speaker_3,Can you two stop shouting? Have you checked the trash or backups?,2024-06-20 20:26:16
escalatory_conversation_2,speaker_2,Why should I check the trash? I didn't delete anything!,2024-06-20 20:31:16
escalatory_conversation_2,speaker_1,"Fine, I'll check it myself. Just stop pretending you're innocent if you messed up.",2024-06-20 20:37:16
escalatory_conversation_2,speaker_2,I'm not pretending. You're just looking for someone to blame.,2024-06-20 20:43:16
escalatory_conversation_2,speaker_4,"Honestly, this is getting out of hand. Pointing fingers won't get the files back.",2024-06-20 20:48:16
escalatory_conversation_2,speaker_1,"Maybe if some people weren't so irresponsible, we wouldn't have lost an entire week's work!",2024-06-20 20:57:16
escalatory_conversation_2,speaker_2,Irresponsible? That's rich coming from someone who always misses deadlines!,2024-06-20 21:07:16
escalatory_conversation_2,speaker_3,Enough! Name-calling isn't solving our problem. Let's figure out what happened.,2024-06-20 21:08:16
escalatory_conversation_2,speaker_2,I bet speaker_1 didn't save the files properly in the first place.,2024-06-20 21:14:16
escalatory_conversation_2,speaker_1,And I bet speaker_2 has no clue how to properly manage a shared folder!,2024-06-20 21:21:16
escalatory_conversation_2,speaker_4,"This isn't productive. We need to focus on recovering those files, not tearing each other down.",2024-06-20 21:23:16
escalatory_conversation_2,speaker_2,"Fine, let's see if the IT department can recover anything. But I'm telling you, I didn't delete them.",2024-06-20 21:29:16
escalatory_conversation_2,speaker_1,"Let's hope they can, because if we lose the client over this, it's on you.",2024-06-20 21:36:16
escalatory_conversation_2,speaker_4,Stop with the blame game. We're all in this together. Let's contact IT now.,2024-06-20 21:38:16
escalatory_conversation_2,speaker_3,Agreed. Arguing won't bring the files back. Let's move forward.,2024-06-20 21:39:16
escalatory_conversation_2,speaker_1,"Fine, contacting IT it is. But we aren't done talking about this.",2024-06-20 21:41:16
escalatory_conversation_2,speaker_2,"Whatever. Just get IT on it. We need those files back, no thanks to your reckless saving habits.",2024-06-20 21:47:16
escalatory_conversation_2,speaker_4,Enough! Well figure out blame later. Focus on the solution right now.,2024-06-20 21:51:16
escalatory_conversation_3,speaker_1,Why didnt you pass the ball at the last minute? We could have scored!,2024-06-20 19:52:20
escalatory_conversation_3,speaker_2,Dont blame me! You were too slow to get into position!,2024-06-20 19:59:20
escalatory_conversation_3,speaker_1,I was wide open! You never even looked!,2024-06-20 20:08:20
escalatory_conversation_3,speaker_2,"Maybe if you shouted or signaled, I would have known you were open!",2024-06-20 20:16:20
escalatory_conversation_3,speaker_3,Can both of you stop blaming and focus on the game? Were falling apart here!,2024-06-20 20:25:20
escalatory_conversation_3,speaker_1,Its hard to focus when some people are acting like lone wolves!,2024-06-20 20:34:20
escalatory_conversation_3,speaker_2,"Oh, Im the lone wolf now? How about you actually try running plays instead of freelancing?",2024-06-20 20:41:20
escalatory_conversation_3,speaker_1,Freelancing? I was following the coachs plan! You never listen anyway!,2024-06-20 20:42:20
escalatory_conversation_3,speaker_3,"Seriously, we need to calm down. Fighting amongst ourselves wont fix anything!",2024-06-20 20:46:20
escalatory_conversation_3,speaker_2,"Fine, whatever. Just tell me what I need to do since apparently, I'm the problem.",2024-06-20 20:47:20
escalatory_conversation_3,speaker_1,"You need to start trusting your teammates more, thats all.",2024-06-20 20:56:20
escalatory_conversation_3,speaker_2,"Trust goes both ways, you know. But sure, Ill try. Just dont mess up the next pass.",2024-06-20 20:57:20
escalatory_conversation_3,speaker_3,"Thats a start. Let's pull it together, weve got a game to win.",2024-06-20 21:01:20
escalatory_conversation_4,speaker_1,"Hey, why did you take my presentation slides without asking?",2024-06-20 19:55:27
escalatory_conversation_4,speaker_2,"I didn't take them, I borrowed them since were working on the same project.",2024-06-20 19:59:27
escalatory_conversation_4,speaker_1,"Borrowed? You didn't even tell me! I spent hours on those, and now I have no backup!",2024-06-20 20:02:27
escalatory_conversation_4,speaker_2,"You didnt tell me I couldnt use them! Plus, I needed them for my part of the presentation.",2024-06-20 20:09:27
escalatory_conversation_4,speaker_1,Thats not the point! Its common courtesy to ask first.,2024-06-20 20:13:27
escalatory_conversation_4,speaker_2,"Maybe if you didnt hog all the work, I wouldnt have had to.",2024-06-20 20:18:27
escalatory_conversation_4,speaker_1,Excuse me? Im the one doing the majority of the work because you never step up!,2024-06-20 20:26:27
escalatory_conversation_4,speaker_2,"Oh, really? Remember last time you totally messed up the clients requirements?",2024-06-20 20:35:27
escalatory_conversation_4,speaker_1,That was one mistake. It doesnt compare to you constantly ignoring deadlines.,2024-06-20 20:44:27
escalatory_conversation_4,speaker_2,At least I dont make decisions without consulting the team.,2024-06-20 20:54:27
escalatory_conversation_4,speaker_1,Consultation is useless when you don't contribute anything meaningful!,2024-06-20 20:58:27
escalatory_conversation_4,speaker_2,"If you think youre so perfect, why do you even need my input?",2024-06-20 21:02:27
escalatory_conversation_4,speaker_1,"Because this is supposed to be a team effort, not a one-man show!",2024-06-20 21:09:27
escalatory_conversation_4,speaker_2,"Maybe if you trusted others, it wouldnt feel like a one-man show.",2024-06-20 21:12:27
escalatory_conversation_4,speaker_1,"Trust is earned, and you haven't done anything to earn mine.",2024-06-20 21:21:27
escalatory_conversation_4,speaker_2,How can I earn trust if you wont give me any responsibility?,2024-06-20 21:23:27
escalatory_conversation_4,speaker_1,"Fine, take responsibilityjust dont blame me when things go wrong.",2024-06-20 21:25:27
escalatory_conversation_4,speaker_2,I wouldnt have to if you didnt micromanage every little thing.,2024-06-20 21:26:27
escalatory_conversation_4,speaker_1,Better micromanage than let everything fall apart.,2024-06-20 21:30:27
escalatory_conversation_4,speaker_2,Maybe its not falling apart because of me. Maybe its falling apart because of your control issues.,2024-06-20 21:37:27
escalatory_conversation_4,speaker_1,My control issues? At least I'm organized! You can't even stick to a simple plan!,2024-06-20 21:42:27
escalatory_conversation_4,speaker_2,"Plans change, and sticking to them blindly is why were always behind.",2024-06-20 21:45:27
escalatory_conversation_4,speaker_1,"Were behind because no one else takes initiative, especially you!",2024-06-20 21:53:27
escalatory_conversation_4,speaker_2,Initiative is pointless when you shoot down every idea that isnt yours.,2024-06-20 22:03:27
escalatory_conversation_4,speaker_1,"Maybe if your ideas were actually good, that wouldnt happen.",2024-06-20 22:10:27
